,control,['state']
1438,-10,Lane
1439,-10,Lane
1440,-10,Lane
1441,-10,Lane
1442,-10,Lane
1443,-10,Lane
1444,-10,Lane
1445,-10,Lane
1446,-10,Lane
1447,-10,Lane
1448,-10,Lane
1449,-10,Lane
1450,-10,Lane
1451,-10,Lane
1452,-10,Lane
1453,-10,Lane
1454,-10,Lane
1455,-10,Lane
1456,-10,Lane
1457,-10,Lane
1458,-10,Lane
1459,-10,Lane
1460,-10,Lane
1461,-10,Lane
1462,-10,Lane
1463,-10,Lane
1464,-10,Lane
1465,-10,Lane
1466,-10,Lane
1467,-10,Lane
1468,-10,Lane
1469,-10,Lane
1470,-10,Lane
1471,-10,Lane
1472,-10,Lane
1473,-10,Lane
1474,-10,Lane
1475,-10,Lane
1476,-10,Lane
1477,-10,Lane
1478,-10,Lane
1479,-10,Lane
1480,-10,Lane
1481,-10,Lane
1482,-10,Lane
1483,-10,Lane
1484,-10,Lane
1485,-10,Lane
1486,-10,Lane
1487,-10,Lane
1488,-10,Lane
1489,-10,Lane
1490,-10,Lane
1491,-10,Lane
1492,-10,Lane
1493,-10,Lane
1494,-10,Lane
1495,-10,Lane
1496,-10,Lane
1497,-10,Lane
1498,-10,Lane
1499,-10,Lane
1500,-10,Lane
1501,-10,Lane
1502,-10,Lane
1503,-10,Lane
1504,-10,Lane
1505,-10,Lane
1506,-10,Lane
1507,-10,Lane
1508,-10,Lane
1509,-10,Lane
1510,-10,Lane
1511,-10,Lane
1512,-10,Lane
1513,-10,Lane
1514,-10,Lane
1515,-10,Lane
1516,-10,Lane
1517,-10,Lane
1518,-10,Lane
1519,-10,Lane
1520,-10,Lane
1521,-10,Lane
1522,-10,Lane
1523,-10,Lane
1524,-10,Lane
1525,-10,Lane
1526,-10,Lane
1527,-10,Lane
1528,-10,Lane
1529,-10,Lane
1530,-10,Lane
1531,-10,Lane
1532,-10,Lane
1533,-10,Lane
1534,-10,Lane
1535,-10,Lane
1536,-10,Lane
1537,-10,Lane
1538,-10,Lane
1539,-10,Lane
1540,-10,Lane
1541,-10,Lane
1542,-10,Lane
1543,-10,Lane
1544,-10,Lane
1545,-8,Lane
1546,-8,Lane
1547,-6,Lane
1548,-5,Lane
1549,32,Light
1550,28,Light
1551,71,Light
1552,95,Light
1553,93,Light
1554,94,Light
1555,94,Light
1556,92,Light
1557,92,Light
1558,91,Light
1559,92,Light
1560,95,Light
1561,95,Light
1562,94,Light
1563,93,Light
1564,93,Light
1565,92,Light
1566,93,Light
1567,92,Light
1568,93,Light
1569,93,Light
1570,92,Light
1571,92,Light
1572,93,Light
1573,93,Light
1574,92,Light
1575,92,Light
1576,92,Light
1577,93,Light
1578,92,Light
1579,94,Light
1580,92,Light
1581,93,Light
1582,93,Light
1583,94,Light
1584,94,Light
1585,94,Light
1586,93,Light
1587,92,Light
1588,92,Light
1589,94,Light
1590,93,Light
1591,93,Light
1592,93,Light
1593,93,Light
1594,94,Light
1595,93,Light
1596,93,Light
1597,92,Light
1598,93,Light
1599,91,Light
1600,92,Light
1601,94,Light
1602,93,Light
1603,92,Light
1604,93,Light
1605,92,Light
1606,93,Light
1607,94,Light
1608,100,Light
1609,102,Light
1610,None,Light
1611,None,Light
1612,None,Light
